"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
70,64,62,56,20,18,55,51,39,92,67,89,72,73
52,31,60,78,91,67,65,39,8,10,97,63,50,86
69,98,38,25,70,40,35,100,82,9,13,5,98,49
56,5,65,36,25,45,25,57,60,93,70,68,63,100
73,35,45,83,99,2,85,87,95,52,42,51,6,42
44,95,100,84,61,38,53,71,75,40,29,83,44,34
25,50,79,23,97,54,10,64,26,2,48,23,91,67
20,26,28,62,21,99,3,94,57,76,96,10,56,64
78,19,97,57,12,96,59,89,11,39,86,93,20,95
54,40,41,6,68,92,26,12,51,36,91,54,79,71
81,44,26,9,67,33,20,35,62,47,81,53,96,72
37,57,12,43,34,29,56,81,93,1,20,15,53,31
19,91,9,41,33,94,94,62,5,98,75,86,2,74
65,67,76,95,26,83,1,44,17,48,77,35,52,6
51,63,64,90,24,73,81,32,58,38,56,32,49,83
83,15,21,40,82,15,12,50,64,85,7,62,5,16
84,9,96,31,83,90,22,55,9,29,99,21,8,97
27,7,57,32,69,24,45,73,79,70,66,85,86,2
41,76,20,63,64,31,96,42,30,94,85,61,61,43
99,1,39,50,27,25,91,47,19,97,9,7,82,23
21,93,35,64,84,1,33,30,22,95,19,78,10,99
29,89,32,65,90,71,30,69,36,61,21,56,3,92
11,54,86,18,89,39,40,76,78,5,84,88,58,26
75,51,40,10,100,62,49,63,47,16,28,52,88,35
85,84,43,17,19,12,86,78,25,35,82,42,87,55
97,48,31,8,59,97,92,92,89,46,25,9,55,33
36,13,11,47,92,88,72,79,3,79,17,87,47,1
55,69,24,20,18,93,75,72,72,17,65,64,84,46
35,6,25,4,75,63,37,66,100,99,93,77,46,58
5,81,14,70,29,50,48,14,40,73,60,37,92,66
87,22,83,75,9,74,5,93,92,30,61,14,22,37
95,78,49,100,8,36,51,34,15,4,94,70,4,75
98,49,46,96,41,72,97,36,65,65,54,39,78,4
58,100,7,73,31,35,87,33,74,84,4,47,69,28
88,79,51,29,5,95,62,2,96,43,44,11,74,30
89,29,58,22,63,10,44,21,27,19,37,75,19,69
14,53,73,30,28,64,9,38,44,88,34,2,48,13
61,86,89,68,47,11,74,49,73,57,72,81,18,65
38,34,71,5,37,59,38,17,50,50,58,50,99,57
1,37,88,33,30,26,57,60,52,72,98,34,77,77
57,52,8,94,23,23,41,19,28,91,64,45,39,84
34,32,95,71,79,16,36,23,67,78,27,79,14,93
94,99,22,52,35,66,15,86,86,37,45,95,9,11
92,10,4,1,87,81,58,24,43,49,11,29,65,53
53,80,93,48,80,100,98,20,37,75,32,17,35,48
30,56,6,66,13,34,2,29,81,12,31,66,31,51
67,18,34,86,50,17,14,10,10,59,68,36,29,50
18,38,61,28,86,87,27,88,54,90,47,43,41,61
3,72,85,2,65,28,76,43,80,7,90,6,62,82
86,17,53,81,55,4,60,58,87,41,92,40,17,29
48,23,52,49,17,43,80,16,88,24,18,60,32,44
47,24,69,12,73,79,42,56,29,96,2,12,1,47
24,14,17,91,36,20,8,65,68,83,22,3,67,79
50,60,90,24,6,13,78,6,4,77,63,58,59,21
33,74,70,60,53,98,64,83,24,32,69,96,45,63
68,47,29,59,44,91,73,90,20,13,59,57,60,24
39,16,55,3,11,53,71,15,2,20,16,48,43,85
49,36,37,97,32,55,95,18,91,81,14,76,34,18
96,21,82,61,7,49,50,53,53,8,52,74,97,62
71,88,5,26,49,5,93,4,49,14,83,67,64,36
80,62,98,53,96,52,100,5,90,87,8,16,37,41
2,12,92,42,78,89,28,82,33,86,87,1,51,19
43,96,13,46,22,48,63,54,45,51,46,98,85,54
91,94,68,54,60,68,54,48,13,74,95,24,11,88
8,33,30,16,54,9,21,28,14,45,10,82,33,94
60,61,10,15,43,84,88,97,94,54,100,31,95,3
17,25,18,27,3,60,90,99,31,89,15,72,54,22
4,75,42,35,1,85,11,61,59,3,23,44,89,91
79,58,72,38,2,42,66,85,41,28,35,20,40,32
10,82,75,99,14,47,16,27,32,21,55,90,27,68
7,28,81,89,94,86,99,84,42,71,41,55,42,8
72,46,44,58,16,65,24,41,98,34,89,49,15,81
64,85,2,80,45,57,18,25,77,68,71,33,25,25
40,59,56,45,98,58,61,68,61,82,26,65,21,98
26,45,91,88,76,37,34,46,99,26,80,30,90,56
42,71,87,11,38,76,19,80,63,25,74,4,73,59
23,92,50,92,46,70,32,75,76,56,76,94,24,39
62,3,16,21,57,30,13,13,21,33,6,91,57,89
6,73,27,44,72,14,43,22,1,64,33,13,26,9
66,87,74,93,52,19,31,98,84,23,79,28,12,5
100,70,80,77,71,51,23,77,12,18,49,80,23,96
9,42,77,74,51,27,79,67,16,31,12,73,83,40
28,55,78,7,81,80,7,70,23,58,53,25,94,15
63,90,47,55,77,69,70,31,6,44,50,97,36,7
74,68,19,37,4,46,89,59,55,67,39,19,28,14
90,20,36,85,93,8,6,26,70,62,51,59,66,90
32,11,1,51,85,6,83,74,7,80,73,46,76,78
45,30,3,69,40,41,29,91,34,27,57,92,100,76
93,66,67,87,95,82,46,45,35,66,62,38,70,45
59,83,84,82,10,7,84,8,83,53,43,27,68,20
15,41,59,79,15,77,4,9,46,55,30,41,16,27
31,97,99,14,88,22,67,96,69,22,36,26,81,60
82,27,33,39,62,75,52,40,38,15,5,84,13,12
13,39,66,13,39,56,69,7,18,69,3,99,7,87
76,4,94,98,58,3,39,11,71,100,1,71,38,80
12,65,63,34,66,21,77,95,66,60,88,18,75,70
16,77,48,67,56,61,47,37,97,6,78,8,80,10
22,8,54,76,48,32,82,52,48,63,24,69,71,38
77,2,15,19,74,44,17,3,85,11,38,100,93,17
46,43,23,72,42,78,68,1,56,42,40,22,30,52
